"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Enhancing Source Code Comment Generation via Retrieval-Augmented Generation with Design Document Term Dictionary","K. Nishikawa; G. Koreki; H. Kanuka","Research & Development Group, Hitachi, Ltd., Yokohama, Japan; Research & Development Group, Hitachi, Ltd., Yokohama, Japan; Research & Development Group, Hitachi, Ltd., Yokohama, Japan",2024 31st Asia-Pacific Software Engineering Conference (APSEC),"25 Apr 2025","2024","","","467","471","Effective software development depends on clear code comments for better understanding. We introduce a method for generating automated source-code comments using retrieval-augmented generation (RAG) with a design document term dictionary. This method aligns terms and their meanings from design documents with lines of source code, producing comments that clearly reflect the source-code's intent and functionality. Our evaluations on the open-source software iDempiere show significant improvements: context precision increased by 22% and faithfulness by 17 % compared with conventional RAG methods These results confirm our method's validity. Therefore, we plan to explore its application to different software contexts in future work.","2640-0715","979-8-3315-3401-1","10.1109/APSEC65559.2024.00061","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10967279","Large Language Model;Retrieval-Augmented Generation;Source-code Comment Generation","Codes;Dictionaries;Accuracy;Source coding;Large language models;Retrieval augmented generation;Fitting;Open source software;Software engineering;Software development management","","1","","22","IEEE","25 Apr 2025","3-6 Dec. 2024","3-6 Dec. 2024","IEEE","IEEE Conferences"
"Analysing Code-Based Retrieval Augmented Generation Methods for Knowledge Retention","A. D. S. P; J. Joshy; M. F. T M; P. C F; D. E. Baby","Department of Artificial Intelligence And Data Science, Muthoot Institute of Technology and Science, Varikoli, Kerala, India; Department of Artificial Intelligence And Data Science, Muthoot Institute of Technology and Science, Varikoli, Kerala, India; Department of Artificial Intelligence And Data Science, Muthoot Institute of Technology and Science, Varikoli, Kerala, India; Department of Artificial Intelligence And Data Science, Muthoot Institute of Technology and Science, Varikoli, Kerala, India; Department of Artificial Intelligence And Data Science, Muthoot Institute of Technology and Science, Varikoli, Kerala, India","2025 4th International Conference on Advances in Computing, Communication, Embedded and Secure Systems (ACCESS)","29 Aug 2025","2025","","","61","65","Traditional Retrieval Augemented Systems (RAG) fails to capture the intricate and complex contextual information within a code repository. This is mainly due to the presence of multiple files, functions, classes and various dependencies existing among themselves. This calls for an efficient pipeline to extract additional context for the LLM agent in a RAG system. In this paper, we try to investigate two methodologies for efficiently retrieving relevant information from source code repositories, namely CodeSplitter in LlamaIndex and CodexGraph. CodeSplitter uses AST parsing to form semantically meaningful code chunks that are efficiently and precisely retrieved within structured boundaries, whereas CodexGraph employs static analysis to comprehensively create graph databases encapsulating inter-file and inter-module relationships and perform holistic reasoning. We analyse the performance of both of these pipelines by implementing a RAG system using Large Language Models like GPT-4.0 and LLaMA 3.2 to evaluate their effectiveness in improving code analysis, retrieval, and project knowledge retention.","","979-8-3315-3623-7","10.1109/ACCESS65134.2025.11135582","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11135582","Code graphs;Codesplitter;Retrieval Augmented Generation (RAG);CodexGraph;large language models (LLMs)","Codes;Databases;Scalability;Large language models;Source coding;Retrieval augmented generation;Pipelines;Knowledge graphs;Static analysis;Cognition","","","","15","IEEE","29 Aug 2025","11-13 June 2025","11-13 June 2025","IEEE","IEEE Conferences"
"The Multi-Round Diagnostic RAG Framework for Emulating Clinical Reasoning","P. Sun; Y. Chen; X. Li; X. Chu","The Hong Kong University of Science and Technology (Guangzhou), Guangzhou, China; The Hong Kong University of Science and Technology (Guangzhou), Guangzhou, China; The Hong Kong University of Science and Technology (Guangzhou), Guangzhou, China; The Hong Kong University of Science and Technology (Guangzhou), Guangzhou, China",2025 IEEE International Conference on Bioinformatics and Biomedicine (BIBM),"29 Jan 2026","2025","","","4073","4076","In recent years, accurately and quickly deploying medical large language models (LLMs) has become a trend. Among these, retrieval-augmented generation (RAG) has garnered attention due to rapid deployment and privacy protection. However, the challenge hinder the practical deployment of RAG for medical diagnosis: the semantic gap between colloquial patient descriptions and the professional terminology within medical knowledge bases. We try to address the challenge from the data perspective and the method perspective. First, to address the semantic gap in existing knowledge bases, we construct DiagnosGraph, a generalist knowledge graph covering both modern medicine and Traditional Chinese Medicine. It contains 876 common diseases with the graph of 7,997 nodes and 37,201 triples. To bridge the gap between colloquial patient narratives and academic medical knowledge, DiagnosGraph also introduces 1,908 medical record by formalizing the patient chief complaint and proposing a medical diagnosis. Second, we introduce the Multi-Round Diagnostic RAG (MRD-RAG) framework. It utilizes a multi-round dialogue to refine diagnostic possibilities, emulating the clinical reasoning of a physician. Experiments conducted on four medical benchmarks, with evaluations by human physicians, demonstrate that MRD-RAG enhances the diagnostic performance of LLMs, highlighting its potential to make automated diagnosis more accurate and human-aligned. The codebase and supplementary materials can be found at our page 11https://sites.google.com/view/mrd-rag.","2156-1133","979-8-3315-1557-7","10.1109/BIBM66473.2025.11357107","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11357107","Large Language Model;Retrieval-Augmented Generation;Medical Diagnosis","Privacy;Terminology;Large language models;Semantics;Knowledge based systems;Retrieval augmented generation;Market research;Cognition;Protection;Medical diagnostic imaging","","1","","18","IEEE","29 Jan 2026","15-18 Dec. 2025","15-18 Dec. 2025","IEEE","IEEE Conferences"
"Evaluating Retrieval-Augmented Generation for LLM-Based Vulnerability Detection: An Empirical Study on Real-World Java Vulnerabilities","G. Antal; L. Értekes; N. Szolnoki; P. Hegedűs","1Department of Software Engineering, University of Szeged, Szeged, Hungary; 1Department of Software Engineering, University of Szeged, Szeged, Hungary; 1Department of Software Engineering, University of Szeged, Szeged, Hungary; 1Department of Software Engineering, University of Szeged, Szeged, Hungary",IEEE Access,"7 Apr 2026","2026","14","","50878","50891","Software vulnerabilities are growing as fast as the digital platforms and applications that contain them. Thus, the timely and effective detection of software vulnerabilities is becoming increasingly important. Another emerging trend is the widespread use of large language models (LLMs) for software engineering tasks such as source and test code generation, refactoring, and debugging. Finding security-related issues is crucial, but it is a very resource-intensive task. This work offers an empirical benchmark of the impact of retrieval-augmented prompts on LLM-based vulnerability detection, rather than proposing a new detection method. In this work, we explore the source code vulnerability detection capabilities of large language models (LLMs) in a realistic, language-specific setting. We investigate to what extent retrieval-augmented generation (RAG) improves their performance when applied to real-world Java vulnerabilities. We evaluated seven widely used LLMs (GPT-5, GPT-4o, Claude Sonnet 4, Gemini 2.5, LLaMa 4, DeepSeek 3.1, and Grok Code Fast) on Java source code. We used the Vul4J dataset, a manually curated benchmark of real-world vulnerabilities, comparing a basic zero-shot approach against a RAG-enhanced approach that provides up to three vulnerable and three secure code examples based on their semantic similarity to the code under analysis. To mitigate the non-deterministic nature of LLMs, each experiment was repeated three times and the results were averaged. We empirically found that RAG helps LLMs reduce false positives without significantly affecting recall, leading to improved MCC scores under specific conditions. However, retrieval was often sparse, and false positives remained common, limiting practical impact. Our study serves as an empirical evaluation rather than a deployment-ready methodology.","2169-3536","","10.1109/ACCESS.2026.3676577","Ministry of Culture and Innovation of Hungary from the National Research, Development and Innovation Fund, through the K_23, the Hungarian Scientific Research Fund/Országos Tudományos Kutatási Alapprogramok (OTKA) Funding Scheme(grant numbers:K 147225); European Union Horizon Program(grant numbers:101120393); University of Szeged Open Access Fund(grant numbers:8297); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11450344","Vulnerability detection;large language models;retrieval-augmented generation;LLM comparison","Codes;Retrieval augmented generation;Java;Accuracy;Large language models;Databases;Source coding;Semantics;Security;Deep learning","","","","54","CCBY","23 Mar 2026","2026","","IEEE","IEEE Journals"
"Model-Driven Quantum Code Generation Using Large Language Models and Retrieval-Augmented Generation","N. Siavash; A. Moin","Department of Computer Science, University of Colorado Colorado Springs (UCCS), Colorado Springs, United States; Department of Computer Science, University of Colorado Colorado Springs (UCCS), Colorado Springs, United States",2025 ACM/IEEE 28th International Conference on Model Driven Engineering Languages and Systems (MODELS),"24 Nov 2025","2025","","","260","266","This paper introduces a novel research direction for model-to-text/code transformations by leveraging Large Language Models (LLMs) that can be enhanced with Retrieval-Augmented Generation (RAG) pipelines. The focus is on quantum and hybrid quantum-classical software systems, where model-driven approaches can help reduce the costs and mitigate the risks associated with the heterogeneous platform landscape and lack of developers' skills. We validate one of the proposed ideas regarding generating code out of UML model instances of software systems. This Python code uses a well-established library, called Qiskit, to execute on gate-based or circuit-based quantum computers. The RAG pipeline that we deploy incorporates sample Qiskit code from public GitHub repositories. Experimental results show that well-engineered prompts can improve CodeBLEU scores by up to a factor of four, yielding more accurate and consistent quantum code. However, the proposed research direction can go beyond this through further investigation in the future by conducting experiments to address our other research questions and ideas proposed here, such as deploying software system model instances as the source of information in the RAG pipelines, or deploying LLMs for code-to-code transformations, for instance, for transpilation use cases.","","979-8-3315-4910-7","10.1109/MODELS67397.2025.00031","OEDIT; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11245294","model-driven software engineering;quantum code generation;large language models;llm;retrieval-augmented generation;rag","Codes;Quantum computing;Large language models;Unified modeling language;Retrieval augmented generation;Pipelines;Software systems;Software engineering;Software development management;Python","","","","34","IEEE","24 Nov 2025","5-10 Oct. 2025","5-10 Oct. 2025","IEEE","IEEE Conferences"
"RAG-Enhanced Semantic Code Retrieval & AI-Enhanced Communication for Developer Efficiency","P. Meshram; J. Nanwani; S. Bondre; K. Devda; P. Shahane; S. Bhatt; A. Mankar","School of Computer Science & Engineering, Ramdeobaba University, Nagpur, India; School of Computer Science & Engineering, Ramdeobaba University, Nagpur, India; School of Computer Science & Engineering, Ramdeobaba University, Nagpur, India; School of Computer Science & Engineering, Ramdeobaba University, Nagpur, India; School of Computer Science & Engineering, Ramdeobaba University, Nagpur, India; School of Computer Science & Engineering, Ramdeobaba University, Nagpur, India; School of Computer Science & Engineering, Ramdeobaba University, Nagpur, India",2025 OITS International Conference on Information Technology (OCIT),"2 Mar 2026","2025","","","41","46","GitHub Repository Supporter is a high-tech AI solution that helps software engineering teams deal with challenges like managing complex, multi-tiered codebases and working collaboratively from different locations. A lot of the time, regular tools don't do a good job at automating chores or understanding the situation, which renders them useless. Retrieval-Augmented Generation (RAG) and Large Language Models (LLMs) are used by this platform to search for semantic code. This enables developers ask questions about repositories in plain English, so they don't have to pore through the code by hand. It also finds flaws, variables, and functions in the code. It has Whisper ASR to transcribe conference audio and video so that teams can work together better, and Google Gemini AI creates summaries that are organized and time-stamped. It has a modular design that makes it easy to find your way around repositories, write documentation automatically, and collaborate together. This paper talks about the system architecture and AI methodologies, focusing on how intelligent automation may make work more productive and transform the way software is made.","","979-8-3315-7702-5","10.1109/OCIT66168.2025.11400280","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11400280","AI;GitHub;Large Language Models (LLM);Retrieval-Augmented Generation (RAG);Whisper ASR;Codebase Management","Codes;DevOps;Large language models;Semantics;Retrieval augmented generation;Documentation;Software;Real-time systems;Natural language processing;Teamwork","","","","10","IEEE","2 Mar 2026","18-20 Dec. 2025","18-20 Dec. 2025","IEEE","IEEE Conferences"
"Knowledge Graph Based Retrieval-Augmented Generation for Multi-Hop Question Answering Enhancement","M. A. Shavaki; P. Omrani; R. Toosi; M. A. Akhaee","School of Electrical and Computer Engineering, College of Engineering, University of Tehran, Tehran, Iran; Faculty of Electrical Engineering, K. N. Toosi University of Technology, Tehran, Iran; School of Electrical and Computer Engineering, College of Engineering, University of Tehran, Tehran, Iran; School of Electrical and Computer Engineering, College of Engineering, University of Tehran, Tehran, Iran",2024 15th International Conference on Information and Knowledge Technology (IKT),"26 Feb 2025","2024","","","78","84","Multi-hop question answering (QA), which requires integrating information from multiple sources, poses significant challenges in natural language processing. Existing methods often struggle with effective retrieval across documents, leading to incomplete or inaccurate answers. Building upon Graph-based Retrieval-Augmented Generation (Graph RAG), we enhance multi-hop QA by leveraging structured knowledge graphs. Specifically, we construct individual knowledge graphs for each document, where entities are represented as nodes and the relationships between them as edges enriched with contextual properties. These individual graphs are then seamlessly integrated into a comprehensive, unified graph that captures cross-document relationships. Our method improves retrieval by utilizing vector embeddings of these graph relations, enabling more effective multi-hop reasoning across the interconnected data. To evaluate our approach, we assembled a dataset of 500 documents paired with 296 multi-hop questions requiring cross-document information retrieval. Our contributions include developing a novel graph-based retrieval mechanism that leverages vector embeddings of graph relations within the Graph RAG framework, and assembling a comprehensive dataset for multi-hop QA. Comparative experiments show that our enhanced Graph RAG method significantly outperforms the baseline in factual accuracy and semantic similarity, as measured by the RAGAS framework. Additionally, an LLM-based evaluator highlights our method's superior performance in answer comprehensiveness, empowerment, and directness.11The source code and dataset are available at: https://github.com/AmiriShavaki/KG-based-RAG-for-Multi-hop-QA","2476-2180","979-8-3315-2225-4","10.1109/IKT65497.2024.10892619","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10892619","RAG;Graph RAG;Generative AI;LLM;Multi-hop QA;NLP","Accuracy;Databases;Source coding;Retrieval augmented generation;Semantics;Knowledge graphs;Information retrieval;Question answering (information retrieval);Vectors;Cognition","","4","","28","IEEE","26 Feb 2025","24-26 Dec. 2024","24-26 Dec. 2024","IEEE","IEEE Conferences"
"A Deep Dive into Retrieval-Augmented Generation for Code Completion: Experience on WeChat","Z. Yang; T. Peng; C. Gao; C. Wang; H. Huang; Y. Deng","Tencent, Guangzhou, China; Tencent, Guangzhou, China; The Chinese University of Hong Kong, Hong Kong, China; The Chinese University of Hong Kong, Hong Kong, China; Tencent, Guangzhou, China; Tencent, Guangzhou, China",2025 IEEE International Conference on Software Maintenance and Evolution (ICSME),"31 Oct 2025","2025","","","608","619","Code completion, a crucial task in software engineering that enhances developer productivity, has seen substantial improvements with the rapid advancement of large language models (LLMs). In recent years, retrieval-augmented generation (RAG) has emerged as a promising method to enhance the code completion capabilities of LLMs, which leverages relevant context from codebases without requiring model retraining. While existing studies have demonstrated the effectiveness of RAG on public repositories and benchmarks, the potential distribution shift between open-source and closed-source codebases presents unique challenges that remain unexplored. To mitigate the gap, we conduct an empirical study to investigate the performance of widely-used RAG methods for code completion in the industrialscale codebase of WeChat, one of the largest proprietary software systems. Specifically, we extensively explore two main types of RAG methods, namely identifier-based RAG and similaritybased RAG, across 26 open-source LLMs ranging from 0.5B to 671B parameters. For a more comprehensive analysis, we employ different retrieval techniques for similarity-based RAG, including lexical and semantic retrieval. Based on 1,669 internal repositories, we achieve several key findings: (1) both RAG methods demonstrate effectiveness in closed-source repositories, with similarity-based RAG showing superior performance, (2) the effectiveness of similarity-based RAG improves with more advanced retrieval techniques, where BM25 (lexical retrieval) and GTE-Qwen (semantic retrieval) achieve superior performance, and (3) the combination of lexical and semantic retrieval techniques yields optimal results, demonstrating complementary strengths. Furthermore, we conduct a developer survey to validate the practical utility of RAG methods in real-world development environments.","2576-3148","979-8-3315-9587-6","10.1109/ICSME64153.2025.00062","National Key R&D Program of China(grant numbers:2022YFB3103900); National Natural Science Foundation of China(grant numbers:62472126); Natural Science Foundation of Guangdong Province(grant numbers:2023A1515011959); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11185940","large language model;retrieval-augmented generation;code completion","Surveys;Codes;Systematics;Social networking (online);Large language models;Semantics;Retrieval augmented generation;Message services;Software systems;Distance measurement","","","","52","IEEE","31 Oct 2025","7-12 Sept. 2025","7-12 Sept. 2025","IEEE","IEEE Conferences"
"LiSSA: Toward Generic Traceability Link Recovery Through Retrieval-Augmented Generation","D. Fuchß; T. Hey; J. Keim; H. Liu; N. Ewald; T. Thirolf; A. Koziolek","KASTEL - Institute of Information Security and Dependability Karlsruhe Institute of Technology (KIT), Karlsruhe, Germany; KASTEL - Institute of Information Security and Dependability Karlsruhe Institute of Technology (KIT), Karlsruhe, Germany; KASTEL - Institute of Information Security and Dependability Karlsruhe Institute of Technology (KIT), Karlsruhe, Germany; KASTEL - Institute of Information Security and Dependability Karlsruhe Institute of Technology (KIT), Karlsruhe, Germany; KASTEL - Institute of Information Security and Dependability Karlsruhe Institute of Technology (KIT), Karlsruhe, Germany; KASTEL - Institute of Information Security and Dependability Karlsruhe Institute of Technology (KIT), Karlsruhe, Germany; KASTEL - Institute of Information Security and Dependability Karlsruhe Institute of Technology (KIT), Karlsruhe, Germany",2025 IEEE/ACM 47th International Conference on Software Engineering (ICSE),"23 Jun 2025","2025","","","1396","1408","There are a multitude of software artifacts which need to be handled during the development and maintenance of a software system. These artifacts interrelate in multiple, complex ways. Therefore, many software engineering tasks are enabled - and even empowered - by a clear understanding of artifact interrelationships and also by the continued advancement of techniques for automated artifact linking. However, current approaches in automatic Traceability Link Recovery (TLR) target mostly the links between specific sets of artifacts, such as those between requirements and code. Fortu-nately, recent advancements in Large Language Models (LLMs) can enable TLR approaches to achieve broad applicability. Still, it is a nontrivial problem how to provide the LLMs with the specific information needed to perform TLR. In this paper, we present LiSSA, a framework that har-nesses LLM performance and enhances them through Retrieval-Augmented Generation (RAG). We empirically evaluate LiSSA on three different TLR tasks, requirements to code, documentation to code, and architecture documentation to architecture models, and we compare our approach to state-of-the-art approaches. Our results show that the RAG-based approach can signifi-cantly outperform the state-of-the-art on the code-related tasks. However, further research is required to improve the performance of RAG-based approaches to be applicable in practice.","1558-1225","979-8-3315-0569-1","10.1109/ICSE55347.2025.00186","German Research Foundation(grant numbers:1608 - 501798263); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11029919","traceability link recovery;large language models;retrieval-augmented generation","Codes;Large language models;Source coding;Retrieval augmented generation;Documentation;Computer architecture;Software systems;Maintenance;Replicability;Software engineering","","8","","57","IEEE","23 Jun 2025","26 April-6 May 2025","26 April-6 May 2025","IEEE","IEEE Conferences"
"Codebase Aware Generative Agents for the SDLC: Automating Documentation, Dependency Analysis and Test Generation","V. K. Mavani","Cloud Engineer, Dallas, United States",2026 IEEE 5th International Conference on AI in Cybersecurity (ICAIC),"23 Feb 2026","2026","","","1","4","Autonomous agents are becoming common in software development, but they often struggle to maintain context in large, changing codebases. To solve this, we propose CA-SAF (Codebase-Aware Self-Adapting Framework), a multi-agent system designed to fix this architectural ""blindness"" by actively retrieving precise code details. Our core innovation is ZSDM (Zero-Shot Dependency Mapping). This hybrid method combines AST parsing with strict LLM extraction to map every entity and relationship into a queryable Knowledge Graph. By using structured code summaries, we achieved roughly 80% data compression, ensuring the context remains efficient. We benchmarked the system against GPT-4o, LLaMA 3.1, and Claude 3 Opus. We found that Claude 3 Opus, with its 200,000 - token window, slightly outperformed the others (capped at 128,000) on complex, non-local mapping tasks. Over a six-month operational study, using CA-SAF led to a measurable drop in both Cycle Time and Lead Time for maintenance work. Crucially, the framework used this codebase awareness to balance speed with quality, actively reducing the number of critical bugs that high-speed LLM generation often introduces.","","978-1-6654-7761-1","10.1109/ICAIC67076.2026.11395666","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11395666","Generative AI;Autonomous Agents;Software Development Life Cycle (SDLC);Knowledge Graph;Retrieval-Augmented Generation (RAG);Zero-Shot Dependency Mapping;Technical Debt","Codes;Knowledge graphs;Autonomous agents;Time measurement;Windows;Maintenance;Complexity theory;Test pattern generators;Software development management;Multi-agent systems","","","","12","IEEE","23 Feb 2026","18-20 Feb. 2026","18-20 Feb. 2026","IEEE","IEEE Conferences"
